Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Select the date for this session.,"Select your site (district, parish, network, or school).",,Select your role.,What grades do you teach? You can select more than one.,,,,,,,,,,,,,Select the content area for today's professional learning session.,Select your course.,Select your course.,Select your course.,Select your course.,Select your course.,Select your course.,How much do you agree with the following statements about this course?,,,,,,,,,"On a scale of 0-10, how likely are you to recommend this course to a colleague or friend?","Overall, what went well in this course?","Overall, what could have been better in this course?",What is the learning from this course that you are most excited about trying out?,Which activities best supported your learning in this course?,"Feel free to leave us any additional comments, concerns, or questions."
,,,,,,,,,Date / Time,Response,Other (please specify),Response,K,1,2,3,4,5,6,7,8,9,10,11,12,Response,Response,Response,Response,Response,Response,Response,I am satisfied with the overall quality of this course.,I am satisfied with how the course was facilitated.,The independent online work activities were well-designed to help me meet the learning targets.,I felt a sense of community with the other participants in this course. even though we were meeting virtually.,The strategies I’ve learned in this course will improve my instruction.,The strategies I’ve learned in this course will improve my coaching or supervision of teachers.,The strategies I’ve learned in the course are easy to implement.,I will apply what I have learned in this course to my practice in the next 4-6 weeks.,"This course has supported me in being responsive to students' backgrounds, cultures, and points of view.",Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
12822656873,406711287,07/15/2021 01:53:30 PM,07/15/2021 01:55:24 PM,174.198.215.45,,,,,07/15/2021,"Delaware Department of Education, DE",,Teacher or specialist,,,,,,5,,,,,,,,ELA,,,,,,,,,,,,,,,,,,,,,
12822460529,406711287,07/15/2021 12:28:14 PM,07/15/2021 12:30:04 PM,71.246.199.192,,,,,07/15/2021,"Delaware Department of Education, DE",,Teacher or specialist,,,2,,4,,,,,,,,,ELA,,,,,,,,,,,,,,,,,,,,,
12822446216,406711287,07/15/2021 12:21:08 PM,07/15/2021 12:26:20 PM,100.14.131.33,,,,,07/15/2021,"Delaware Department of Education, DE",,Teacher or specialist,,,,,,,,,8,,,,,ELA,EL K-8 Modules: Cycle of Inquiry 2: Approaches to Complex Text,,,,,,(5) Strongly agree,(4) Agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(3) Neither agree nor disagree,(4) Agree,(4) Agree,8,"Topics,  collaboration ",More discussion time,Aspects of complexity ,The hands on try outs,
12822445534,406711287,07/15/2021 12:21:13 PM,07/15/2021 12:26:07 PM,73.191.19.91,,,,,07/15/2021,"Delaware Department of Education, DE",,Teacher or specialist,,,,,,,,7,8,9,10,11,12,ELA,ELA Curriculum Flexible: Bootcamp,,,,,,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,10 - Extremely likely,Time to examine complex text as well as time to analyze materials used in our schools for text complexity.,Could we get a copy of the breakout information slides for breakout sessions? Sometimes they are are the participants notebook and sometimes they are not.,"Sharing the ""why""of complex text.",Analyzing materials that our teachers are actually using,
12822445373,406711287,07/15/2021 12:21:34 PM,07/15/2021 12:26:09 PM,198.147.202.136,,,,,07/15/2021,"Delaware Department of Education, DE",,District/network/state-level professional or administrator,K,1,2,3,4,5,6,,,,,,,ELA,ELA Curriculum Flexible: Bootcamp,,,,,,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,8,timing of independent reflecting and sharing,more time:),collaborating with MTSS team,research,
12822445323,406711287,07/15/2021 12:20:43 PM,07/15/2021 12:25:43 PM,108.52.39.215,,,,,07/15/2021,"Delaware Department of Education, DE",,School-based coach,,,,,,,6,7,8,,,,,ELA,ELA Curriculum Flexible: Bootcamp,,,,,,(4) Agree,(4) Agree,(4) Agree,(5) Strongly agree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(5) Strongly agree,8,The method of determining the complexity of texts.,"During the meet & mingle, more time was needed. Once we introduced ourselves, there was not adequate time to dive into the questions related to our pre-work.",Evaluating the texts we use in current Units for complexity.,Group discussions.,none.
12822444803,406711287,07/15/2021 12:20:51 PM,07/15/2021 12:24:07 PM,71.230.194.14,,,,,07/15/2021,"Delaware Department of Education, DE",,Teacher or specialist,,1,,,,,,,,,,,,ELA,ELA Curriculum Flexible: Cycle of Inquiry 1: Access to Complex Text,,,,,,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,10 - Extremely likely,Loved talking with others in the small groups ,"when working in small groups, less questions/people and more time in the beginning of the day ",removing the idea of lowering the level of the text for IEP scaffold supports,analyzing a text in my curriculum and talking to others about a shared analysis of a common story ,
12822444554,406711287,07/15/2021 12:21:09 PM,07/15/2021 12:36:01 PM,71.206.19.202,,,,,07/15/2021,"Delaware Department of Education, DE",,Teacher or specialist,,,,,,,6,,,,,,,ELA,ELA Curriculum Flexible: Bootcamp,,,,,,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,10 - Extremely likely,I love the readings that are selected and the time to work on our own practice/schools.,N/A,Talking about the opportunity myth and the need for all students to interact with complex texts.,"Discussing the articles, practicing looking at readings for text complexity and thinking of how to apply our understandings to our practice and school.",I have learned so much! I really enjoy working with teachers across DE and I appreciate the expertise of our facilitators. It is so refreshing. 
12822444341,406711287,07/15/2021 12:20:57 PM,07/15/2021 12:25:14 PM,100.11.175.240,,,,,07/15/2021,"Delaware Department of Education, DE",,School-based coach,K,1,2,3,4,5,,,,,,,,ELA,ELA Curriculum Flexible: Bootcamp,,,,,,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,(5) Strongly agree,10 - Extremely likely,,,,,
